pinyin,english,lesson,chinese
xiāng,box,Location 4,箱
wèi,classifier for people,Restaurant,位
děng,to wait for,Restaurant,等
yī xià,a bit,Restaurant,一下
jìn,enter,Restaurant,进
Zuò; zuò,to sit,Restaurant,坐
cài dān,menu,Restaurant,菜单
Yīng wén,English (language),Restaurant,英文
cài,dish (type of food),Restaurant,菜
Shàn; dān,bill,Restaurant,单
Wén; wén,language,Restaurant,文
fú wù yuán,waiter,Restaurant,服务员
diǎn cài,to order dishes (in a restaurant),Restaurant,点菜
mǎi dān,to pay the restaurant bill,Restaurant,买单
dìng wèi,reservation,Restaurant,订位
fú; fù,clothes,Restaurant,服
wù,business,Restaurant,务
yuán,person,Restaurant,员
dìng,to order,Restaurant,订
xiē,some,Supermarket,些
Xī; xī,West,Supermarket,西
Dōng; dōng,East,Supermarket,东
dōng xī; dōng xi,thing,Supermarket,东西
chāo shì,supermarket,Supermarket,超市
shuǐ guǒ,fruit,Supermarket,水果
chāo,super,Supermarket,超
shì,market,Supermarket,市
guǒ,fruit,Supermarket,果
gěi; jǐ,give,Supermarket,给
píng guǒ,apple,Supermarket,苹果
xī guā,watermelon,Supermarket,西瓜
píng; pín; píng,apple,Supermarket,苹
guā,melon,Supermarket,瓜
jī dàn,(chicken) egg,Supermarket,鸡蛋
xīn xiān,"fresh (experience, food etc)",Supermarket,新鲜
jī,chicken,Supermarket,鸡
dàn,egg,Supermarket,蛋
xiān; xiǎn; xiān,fresh,Supermarket,鲜
shū cài,vegetables,Supermarket,蔬菜
shū,vegetables,Supermarket,蔬
Bāo; bāo,package,Supermarket,包
Mǐ; mǐ,rice (uncooked),Supermarket,米
miàn bāo,bread,Supermarket,面包
dài,bag,Supermarket,袋
táng,sugar,Supermarket,糖
wéi; wèi,for,Hobbies 2,为
Xí; xí,to practice,Hobbies 2,习
xué xí,to learn,Hobbies 2,学习
Zhōng wén,Chinese language,Hobbies 2,中文
wèi shén me,why?,Hobbies 2,为什么
yīn wèi,because,Hobbies 2,因为
suǒ yǐ,so,Hobbies 2,所以
Xī bān yá,Spain,Hobbies 2,西班牙
yīn,cause,Hobbies 2,因
suǒ,actually,Hobbies 2,所
Yǐ; yǐ,to use,Hobbies 2,以
yá,tooth,Hobbies 2,牙
lǚ yóu,to travel,Hobbies 2,旅游
ài hào,hobby,Hobbies 2,爱好
Xī bān yá yǔ,Spanish language,Hobbies 2,西班牙语
qīng sōng,relaxed,Hobbies 2,轻松
lǚ,trip,Hobbies 2,旅
qīng,light,Hobbies 2,轻
Sōng; sōng; sōng,loose,Hobbies 2,松
zhào xiàng jī,camera,Hobbies 2,照相机
Yìn dù,India,Hobbies 2,印度
pāi zhào,to take a picture,Hobbies 2,拍照
pāi,to pat,Hobbies 2,拍
zhào,Photo,Hobbies 2,照
Yìn; yìn,to print,Hobbies 2,印
Xiāng; xiāng; xiàng,each other,Hobbies 2,相
dù; duó,degree (temperature or intensity),Hobbies 2,度
Hǎi; hǎi,ocean,Dining 1,海
běn,classifier for books and print media,Dining 1,本
Huán; hái; huán,also,Dining 1,还
Shàng hǎi,Shanghai,Dining 1,上海
hái shi,or,Dining 1,还是
Rì běn,Japan,Dining 1,日本
ròu,meat,Dining 1,肉
mǐ fàn,rice (cooked),Dining 1,米饭
miàn tiáo,noodles,Dining 1,面条
jī ròu,chicken meat,Dining 1,鸡肉
niú ròu,beef meat,Dining 1,牛肉
zhū ròu,pork meat,Dining 1,猪肉
yáng ròu,lamb meat,Dining 1,羊肉
yǐn liào,drink,Dining 1,饮料
zhū,pig,Dining 1,猪
Yáng; yáng,sheep,Dining 1,羊
yǐn; yìn,to drink,Dining 1,饮
liào,material,Dining 1,料
zuō; zuò,worker,Health 1,作
gōng,work,Health 1,工
lěi; lèi; Léi; léi,tired,Health 1,累
gōng zuò,to work,Health 1,工作
jué de,to think,Health 1,觉得
yǒu diǎnr,slightly,Health 1,有点儿
pán; pàng,fat,Health 1,胖
jiàn kāng,health,Health 1,健康
bù yào,do not,Health 1,不要
jiàn,healthy,Health 1,健
Kāng; kāng,healthy,Health 1,康
shēn tǐ,the body,Health 1,身体
zhù yì,to take note of,Health 1,注意
shēn,body,Health 1,身
zhù; zhù,to note,Health 1,注
Yì; yì,meaning,Health 1,意
kāi shǐ,to begin,Health 1,开始
duàn liàn,to work out,Health 1,锻炼
kāi,to open,Health 1,开
duàn,to forge,Health 1,锻
shǐ,beginning,Health 1,始
liàn,to refine,Health 1,炼
Tiě; tiě,iron (metal),Transportation,铁
diàn,inn,Transportation,店
de; dì,ground,Transportation,地
jiǔ,alcohol,Transportation,酒
jiǔ diàn,hotel,Transportation,酒店
dì tiě,subway,Transportation,地铁
bù zhǔn,to not allow,Transportation,不准
zhǔn; zhǔn,to allow,Transportation,准
chū zū chē,taxi,Transportation,出租车
zhàn,"A station, stand, or stop",Transportation,站
Chē; chē; jū,car,Transportation,车
chū,to go out,Transportation,出
zū,to hire,Transportation,租
kě yǐ,can,Transportation,可以
qì chē,car,Transportation,汽车
gōng gòng,public,Transportation,公共
chuán,boat,Transportation,船
gōng,public,Transportation,公
qì,steam,Transportation,汽
jiàn,matter,Shopping 1,件
yī; yì,clothes,Shopping 1,衣
Shāng; shāng,business,Shopping 1,商
shāng diàn,store,Shopping 1,商店
yī fu,clothes,Shopping 1,衣服
Mén; mén,door,Shopping 1,门
huān yíng,to welcome,Shopping 1,欢迎
yíng,to welcome,Shopping 1,迎
nín,"you (courteous, as opposed to informal 你)",Shopping 1,您
bāng máng,to help,Shopping 1,帮忙
xū yào,to need,Shopping 1,需要
xū,to require,Shopping 1,需
suí biàn,casual,Shopping 1,随便
Suí; suí,to follow,Shopping 1,随
dòu; dú,GT: read,Languages,读
yì si,GT: meaning,Languages,意思
xiě,GT: write,Languages,写
nán; nàn,GT: difficult,Languages,难
sī,GT: think,Languages,思
miǎo,GT: second,Time 3,秒
kè,GT: engraved,Time 3,刻
chā; chà; chāi,GT: difference,Time 3,差
xiǎo shí,GT: hour,Time 3,小时
fēn zhōng,GT: minute,Time 3,分钟
xiǎo,GT: small,Time 3,小
Shí; shí,GT: Time,Time 3,时
Zhōng; zhōng; zhōng,GT: bell,Time 3,钟
zhěng,GT: whole,Time 3,整
bēi,GT: cup,Dining 2,杯
pí,GT: beer,Dining 2,啤
Dé; dé,GT: Morality,Dining 2,德
Dé guó,GT: Germany,Dining 2,德国
pí jiǔ,GT: beer,Dining 2,啤酒
guǒ zhī,GT: fruit juice,Dining 2,果汁
zhī,GT: juice,Dining 2,汁
xiāng jiāo,GT: banana,Dining 2,香蕉
dàn gāo,GT: cake,Dining 2,蛋糕
jiāo; qiáo,GT: banana,Dining 2,蕉
gāo,GT: cake,Dining 2,糕
wǎn,GT: bowl,Dining 2,碗
bēi zi,GT: cup,Dining 2,杯子
pán zi,GT: plate,Dining 2,盘子
pán,GT: plate,Dining 2,盘
kuài zi,GT: chopsticks,Dining 2,筷子
Dāo; dāo,GT: Knife,Dining 2,刀
chā; chá; chǎ,GT: cross,Dining 2,叉
kuài,GT: chopsticks,Dining 2,筷
sháo zi,GT: Spoon,Dining 2,勺子
sháo,GT: Spoon,Dining 2,勺
Shì; shì,GT: room,Existence,室
bàn,GT: do,Existence,办
liàng,GT: Vehicles,Existence,辆
bàn gōng shì,GT: office,Existence,办公室
píng zi,GT: bottle,Existence,瓶子
zhào piàn,GT: photo,Existence,照片
píng,GT: bottle,Existence,瓶
piān; piàn,GT: sheet,Existence,片
niǎo,GT: bird,Existence,鸟
shù,GT: tree,Existence,树
Bù; bù,GT: step,Sports 1,步
páo; pǎo,GT: run,Sports 1,跑
yǒng,GT: swimming,Sports 1,泳
yóu yǒng,GT: Swim,Sports 1,游泳
pǎo bù,GT: Run,Sports 1,跑步
tī,GT: kick,Sports 1,踢
zú qiú,GT: football,Sports 1,足球
dá; dǎ,GT: hit,Sports 1,打
lán qiú,GT: basketball,Sports 1,篮球
jù; zú,GT: leg,Sports 1,足
lán,GT: basket,Sports 1,篮
qiú,GT: ball,Sports 1,球
yùn dòng,GT: motion,Sports 1,运动
Mǎ; mǎ,GT: horse,Sports 1,马
jì; qí,GT: ride,Sports 1,骑
yùn,GT: Transport,Sports 1,运
dòng,GT: move,Sports 1,动
bā; ba,GT: It,Invitiation 1,吧
chū qù,GT: Out,Invitiation 1,出去
shí jiān,GT: time,Invitiation 1,时间
shí hou,GT: time,Invitiation 1,时候
kōng; kòng,GT: air,Invitiation 1,空
lái,GT: Come,Invitiation 1,来
hòu,GT: Wait,Invitiation 1,候
Guò; guò; guo,GT: Live,Invitiation 1,过
yī qǐ,GT: together,Invitiation 1,一起
bù hǎo yì si,GT: Feel embarrassed,Invitiation 1,不好意思
gào sù; gào su,GT: tell,Invitiation 1,告诉
gào,GT: Tell,Invitiation 1,告
sù,GT: Complaint,Invitiation 1,诉
yuē huì,GT: appointment,Invitiation 1,约会
làng màn,GT: romantic,Invitiation 1,浪漫
làng,GT: wave,Invitiation 1,浪
màn,GT: Overflow,Invitiation 1,漫
gāi,GT: That,Health 2,该
bìng,GT: disease,Health 2,病
Shū; shū,GT: Shu,Health 2,舒
Yìng; yīng; yìng,GT: should,Health 2,应
shēng bìng,GT: sick,Health 2,生病
yīng gāi,GT: should,Health 2,应该
shū fu,GT: Comfortably,Health 2,舒服
téng,GT: pain,Health 2,疼
tóu; tou,GT: head,Health 2,头
xiū xi,GT: rest,Health 2,休息
Xiū; xiū,GT: Rest,Health 2,休
xī,GT: interest,Health 2,息
dù zi,GT: belly,Health 2,肚子
dǔ; dù,GT: tripe,Health 2,肚
yào; yào,GT: medicine,Health 2,药
yī dìng,GT: for sure,Health 2,一定
gǎn mào,GT: cold,Health 2,感冒
gǎn,GT: sense,Health 2,感
dìng,GT: set,Health 2,定
Mào; mào,GT: Risk,Health 2,冒
liú,GT: stay,Health 2,留
qǐng jià,GT: Ask for leave,Health 2,请假
fā shāo,GT: fever,Health 2,发烧
Bié; bié; biè,GT: do not,Health 2,别
fā; fà,GT: hair,Health 2,发
jiǎ; jià,GT: false,Health 2,假
shāo,GT: burn,Health 2,烧
pài,GT: send,Invitation 2,派
Néng; néng,GT: can,Invitation 2,能
shēng rì,GT: birthday,Invitation 2,生日
pài duì,GT: Party,Invitation 2,派对
dǎ ban,GT: dress up,Invitation 2,打扮
bàn,GT: Play,Invitation 2,扮
xī wàng,GT: hope,Invitation 2,希望
gēn,GT: with,Invitation 2,跟
xī,GT: hope,Invitation 2,希
wàng; wàng,GT: hope,Invitation 2,望
dà jiā,GT: everyone,Invitation 2,大家
gōng sī,GT: the company,Invitation 2,公司
zhèng zài,GT: Seizai,Invitation 2,正在
zhēng; zhèng,GT: positive,Invitation 2,正
Sī; sī,GT: Department,Invitation 2,司
shì qing,GT: thing,Invitation 2,事情
cái; cái,GT: only,Invitation 2,才
shì,GT: Thing,Invitation 2,事
qíng,GT: situation,Invitation 2,情
Fèi; fèi,GT: fee,Dining 3,费
wán,GT: Finish,Dining 3,完
Jīng; jīng,GT: through,Dining 3,经
yǐ,GT: Already,Dining 3,已
yǐ jīng,GT: already,Dining 3,已经
xiǎo fèi,GT: tip,Dining 3,小费
bǎo,GT: full,Dining 3,饱
hǎo chī; hào chī,GT: good to eat,Dining 3,好吃
zhēn,GT: true,Dining 3,真
è,GT: hungry,Dining 3,饿
hǎo hē,GT: Tasty,Dining 3,好喝
kě,GT: thirsty,Dining 3,渴
qiǎo kè lì,GT: chocolate,Dining 3,巧克力
wèi dao,GT: taste,Dining 3,味道
tián diǎn,GT: dessert,Dining 3,甜点
tián,GT: sweet,Dining 3,甜
qiǎo,GT: Opportunely,Dining 3,巧
kè; Kè; kēi,GT: Gram,Dining 3,克
Lì; lì,GT: force,Dining 3,力
shì,GT: test,Shopping 2,试
Lán; lán,GT: blue,Shopping 2,蓝
tiáo,GT: article,Shopping 2,条
qún,GT: skirt,Shopping 2,裙
qún zi,GT: skirt,Shopping 2,裙子
Shuāng; shuāng,GT: double,Shopping 2,双
xié zi,GT: Shoe,Shopping 2,鞋子
Yì dà lì,GT: Italy,Shopping 2,意大利
sè; shǎi,GT: color,Shopping 2,色
xié,GT: shoe,Shopping 2,鞋
Lì; lì,GT: Profit,Shopping 2,利
Bǐ; bǐ; bì,GT: ratio,Shopping 2,比
chèn shān,GT: shirt,Shopping 2,衬衫
chèn,GT: lining,Shopping 2,衬
shān,GT: Shirt,Shopping 2,衫
kù zi,GT: pants,Shopping 2,裤子
hǎo kàn,GT: good looking,Shopping 2,好看
kù,GT: pants,Shopping 2,裤
zhì,GT: quality,Shopping 2,质
liáng; liàng,GT: the amount,Shopping 2,量
zhì liàng,GT: quality,Shopping 2,质量
duǒ,GT: Flowers,Body Parts,朵
jīng,GT: eye,Body Parts,睛
lǜ,GT: green,Body Parts,绿
ěr,GT: ear,Body Parts,耳
yǎn,GT: eye,Body Parts,眼
ěr duo,GT: ear,Body Parts,耳朵
yǎn jing,GT: eye,Body Parts,眼睛
tóu fa,GT: hair,Body Parts,头发
liǎn,GT: face,Body Parts,脸
yòu,GT: also,Body Parts,又
Hēi; hēi,GT: black,Body Parts,黑
zuǐ ba,GT: mouth,Body Parts,嘴巴
bí zi,GT: nose,Body Parts,鼻子
jiǎo,GT: foot,Body Parts,脚
zuǐ,GT: mouth,Body Parts,嘴
bí,GT: nose,Body Parts,鼻
Bā; bā,GT: -bar,Body Parts,巴
yuǎn; yuàn,GT: far,Travel,远
chī; Lí; lí,GT: from,Travel,离
zǒu lù,GT: walk,Travel,走路
kāi chē,GT: Drive a car,Travel,开车
fēi jī,GT: aircraft,Travel,飞机
jī chǎng,GT: airport,Travel,机场
fēi,GT: fly,Travel,飞
cháng; chǎng,GT: field,Travel,场
kào,GT: by,Travel,靠
tíng,GT: stop,Travel,停
huǒ chē,GT: train,Travel,火车
piào,GT: ticket,Travel,票
jī piào,GT: Air tickets,Travel,机票
Huǒ; huǒ,GT: fire,Travel,火
chí dào,GT: be late,Travel,迟到
ràng,GT: Let,Travel,让
zěn me bàn,GT: How to do,Travel,怎么办
Chí; chí,GT: late,Travel,迟
Lěng; lěng,GT: cold,Weather,冷
qíng,GT: clear,Weather,晴
tiān qì,GT: the weather,Weather,天气
yǔ; yù,GT: rain,Weather,雨
Xuě; xuě,GT: snow,Weather,雪
Yīn; yīn,GT: Yin,Weather,阴
zhāo; zháo; zhe; zhuó,GT: The,Weather,着
sǎn; sǎn,GT: umbrella,Weather,伞
dài,GT: band,Weather,带
wài miàn,GT: outside,Weather,外面
kě néng,GT: may,Weather,可能
guā; guā,GT: scratch,Weather,刮
fēng,GT: wind,Weather,风
rú guǒ,GT: in case,Weather,如果
jiù,GT: on,Weather,就
cóng lái,GT: Never,Weather,从来
rú,GT: Such as,Weather,如
lǐ miàn,GT: inside,Weather,里面
rán,GT: However,Shopping 3,然
dàn,GT: but,Shopping 3,但
suī,GT: although,Shopping 3,虽
duǎn,GT: short,Shopping 3,短
cháng; zhǎng,GT: long,Shopping 3,长
suī rán,GT: although,Shopping 3,虽然
dàn shì,GT: but,Shopping 3,但是
Hóng; hóng,GT: red,Shopping 3,红
yán sè,GT: colour,Shopping 3,颜色
chuān,GT: wear,Shopping 3,穿
Yán; yán,GT: Color,Shopping 3,颜
Huáng; huáng,GT: yellow,Shopping 3,黄
shǒu biǎo,GT: Watch,Shopping 3,手表
mài,GT: Sell,Shopping 3,卖
mào zi,GT: hat,Shopping 3,帽子
mào,GT: cap,Shopping 3,帽
biǎo; biǎo,GT: table,Shopping 3,表
zǐ,GT: purple,Shopping 3,紫
Shào; shào,GT: Introduce,People 2,绍
jiè,GT: Introduction,People 2,介
jiè shào,GT: Introduction,People 2,介绍
Shuài; shuài,GT: Shuai,People 2,帅
xiào,GT: Lol,People 2,笑
shuō huà,GT: speak,People 2,说话
cōng ming,GT: clever,People 2,聪明
bié ren,GT: other people,People 2,别人
bù dàn,GT: Not only,People 2,不但
ér qiě,GT: and,People 2,而且
cōng,GT: Clever,People 2,聪
ér,GT: and,People 2,而
qiě,GT: And,People 2,且
Chūn; chūn,GT: spring,Celebration,春
kuài lè,GT: happy,Celebration,快乐
jié rì,GT: festival,Celebration,节日
Chūn jié,GT: Spring Festival,Celebration,春节
lǐ wù,GT: gift,Celebration,礼物
sòng,GT: give away,Celebration,送
xīn nián,GT: new Year,Celebration,新年
bái jiǔ,GT: Spirit,Celebration,白酒
Lǐ; lǐ,GT: ceremony,Celebration,礼
wù,GT: object,Celebration,物
gān bēi,GT: Cheers,Celebration,干杯
Zhù; zhù,GT: wish,Celebration,祝
Fǎ guó,GT: France,Celebration,法国
hóng jiǔ,GT: Red wine,Celebration,红酒
Fǎ; fǎ,GT: law,Celebration,法
sài,GT: Competition,Sports 2,赛
liàn,GT: practice,Sports 2,练
liàn xí,GT: Exercise,Sports 2,练习
bǐ sài,GT: game,Sports 2,比赛
hǎo zài,GT: Fortunately,Sports 2,好在
pīng pāng qiú,GT: pingpong,Sports 2,乒乓球
pīng,GT: Table tennis,Sports 2,乒
pāng,GT: Bang,Sports 2,乓
cān jiā,GT: participate,Sports 2,参加
dì,GT: The first,Sports 2,第
cān; shēn,GT: Ginseng,Sports 2,参
wǎng qiú,GT: tennis,Sports 2,网球
pái qiú,GT: volleyball,Sports 2,排球
jiā yóu,GT: Refuel,Sports 2,加油
pái,GT: row,Sports 2,排
yóu,GT: oil,Sports 2,油
shū,GT: lose,Sports 2,输
yíng,GT: win,Sports 2,赢
shī wàng,GT: Disappointed,Sports 2,失望
xìn xīn,GT: confidence,Sports 2,信心
shī,GT: Lose,Sports 2,失
xīn,GT: heart,Sports 2,心
tóng; tóng; tòng,GT: with,School,同
kè,GT: class,School,课
Jiào; jiāo; jiào,GT: teach,School,教
jiào shì,GT: Classroom,School,教室
tóng xué,GT: Classmate,School,同学
dì lǐ,GT: Geography,School,地理
lǐ,GT: Reason,School,理
dǒng,GT: understand,School,懂
wèn tí,GT: problem,School,问题
bǐ,GT: pen,School,笔
Tí; tí,GT: question,School,题
měi shù,GT: art,School,美术
shù; zhú,GT: Technique,School,术
kǎo shì,GT: examination,School,考试
zhǔn bèi,GT: ready,School,准备
kǎo; kǎo,GT: test,School,考
bèi,GT: Equipment,School,备
kē xué,GT: science,School,科学
kē,GT: Family,School,科
xià kè,GT: Finish class,School,下课
yé ye,GT: grandfather,Family 3,爷爷
nǎi nai,GT: grandmother,Family 3,奶奶
ā yí,GT: Auntie,Family 3,阿姨
yé,GT: Father,Family 3,爷
Ā; ā; ē,GT: A,Family 3,阿
yí,GT: aunt,Family 3,姨
xiōng dì jiě mèi,GT: brothers and sisters,Family 3,兄弟姐妹
guān xi,GT: relationship,Family 3,关系
shū shu,GT: uncle,Family 3,叔叔
fù mǔ,GT: parents,Family 3,父母
xiōng,GT: Brother,Family 3,兄
shū,GT: uncle,Family 3,叔
fù,GT: father,Family 3,父
mǔ,GT: mother,Family 3,母
xiàng,GT: image,Family 3,像
yī yàng,GT: same,Family 3,一样
qīn qi,GT: relative,Family 3,亲戚
Qī; qī,GT: Qi,Family 3,戚
qīn; qìng,GT: Dear,Family 3,亲
lā miàn,GT: Hand-Pulled Noodle,Gourmet 1,拉面
diǎn xin,GT: dessert,Gourmet 1,点心
xiǎo lóng bāo,GT: Dumplings,Gourmet 1,小笼包
lā,GT: Pull,Gourmet 1,拉
lóng; lǒng,GT: cage,Gourmet 1,笼
yù; zhōu,GT: Gruel,Gourmet 1,粥
yóu tiáo,GT: Fritters,Gourmet 1,油条
dòu jiāng,GT: Milk,Gourmet 1,豆浆
dòu,GT: beans,Gourmet 1,豆
jiāng; jiàng,GT: Pulp,Gourmet 1,浆
huǒ guō,GT: Hot Pot,Gourmet 1,火锅
bāo zi,GT: bun,Gourmet 1,包子
chǎo fàn,GT: Fried rice,Gourmet 1,炒饭
guō,GT: pot,Gourmet 1,锅
chǎo,GT: fry,Gourmet 1,炒
